name,type,value,date
美国,美洲,5433.0,1960
英国,欧洲,723.28,1960
法国,欧洲,626.51,1960
中国,亚洲,597.16,1960
日本,亚洲,443.07,1960
加拿大,美洲,410.93,1960
意大利,欧洲,403.85,1960
印度,亚洲,370.3,1960
澳大利亚,大洋洲,185.78,1960
巴西,美洲,151.66,1960
美国,美洲,5633.0,1961
英国,欧洲,766.94,1961
法国,欧洲,683.47,1961
日本,亚洲,535.09,1961
中国,亚洲,500.57,1961
意大利,欧洲,448.43,1961
加拿大,美洲,415.56,1961
印度,亚洲,392.32,1961
澳大利亚,大洋洲,196.54,1961
瑞典,欧洲,161.47,1961
美国,美洲,6051.0,1962
英国,欧洲,806.02,1962
法国,欧洲,763.14,1962
日本,亚洲,607.23,1962
意大利,欧洲,503.84,1962
中国,亚洲,472.09,1962
加拿大,美洲,428.68,1962
印度,亚洲,421.61,1962
阿根廷,美洲,244.51,1962
巴西,美洲,199.26,1962
美国,美洲,6386.0,1963
法国,欧洲,855.51,1963
英国,欧洲,854.44,1963
日本,亚洲,694.98,1963
意大利,欧洲,577.11,1963
中国,亚洲,507.07,1963
印度,亚洲,484.22,1963
加拿大,美洲,457.13,1963
巴西,美洲,230.21,1963
澳大利亚,大洋洲,215.07,1963
美国,美洲,6858.0,1964
法国,欧洲,949.07,1964
英国,欧洲,933.88,1964
日本,亚洲,817.49,1964
意大利,欧洲,631.75,1964
中国,亚洲,597.08,1964
印度,亚洲,564.8,1964
加拿大,美洲,501.27,1964
阿根廷,美洲,256.05,1964
澳大利亚,大洋洲,237.64,1964
美国,美洲,7437.0,1965
法国,欧洲,1021.61,1965
英国,欧洲,1005.96,1965
日本,亚洲,909.5,1965
中国,亚洲,704.36,1965
意大利,欧洲,679.78,1965
印度,亚洲,595.55,1965
加拿大,美洲,553.42,1965
阿根廷,美洲,283.45,1965
澳大利亚,大洋洲,259.38,1965
美国,美洲,8150.0,1966
法国,欧洲,1105.97,1966
英国,欧洲,1070.91,1966
日本,亚洲,1056.28,1966
中国,亚洲,767.2,1966
意大利,欧洲,736.55,1966
加拿大,美洲,620.15,1966
印度,亚洲,458.65,1966
西班牙,欧洲,287.21,1966
阿根廷,美洲,286.3,1966
美国,美洲,8617.0,1967
日本,亚洲,1237.82,1967
法国,欧洲,1194.66,1967
英国,欧洲,1111.85,1967
意大利,欧洲,811.33,1967
中国,亚洲,728.82,1967
加拿大,美洲,666.65,1967
印度,亚洲,501.35,1967
西班牙,欧洲,316.47,1967
巴西,美洲,305.92,1967
美国,美洲,9425.0,1968
日本,亚洲,1466.01,1968
法国,欧洲,1298.47,1968
英国,欧洲,1047.03,1968
意大利,欧洲,879.42,1968
加拿大,美洲,729.2,1968
中国,亚洲,708.47,1968
印度,亚洲,530.85,1968
巴西,美洲,338.76,1968
澳大利亚,大洋洲,326.65,1968
美国,美洲,10200.0,1969
日本,亚洲,1722.04,1969
法国,欧洲,1407.25,1969
英国,欧洲,1126.77,1969
意大利,欧洲,970.85,1969
加拿大,美洲,803.49,1969
中国,亚洲,797.06,1969
印度,亚洲,584.48,1969
巴西,美洲,374.59,1969
澳大利亚,大洋洲,366.29,1969
美国,美洲,10700.0,1970
德国,欧洲,2150.22,1970
日本,亚洲,2126.09,1970
法国,欧洲,1484.56,1970
英国,欧洲,1306.72,1970
意大利,欧洲,1130.21,1970
中国,亚洲,926.03,1970
加拿大,美洲,878.96,1970
印度,亚洲,624.22,1970
巴西,美洲,423.28,1970
美国,美洲,11600.0,1971
德国,欧洲,2490.39,1971
日本,亚洲,2401.52,1971
法国,欧洲,1659.67,1971
英国,欧洲,1481.14,1971
意大利,欧洲,1242.61,1971
中国,亚洲,998.01,1971
